,13_to_16,17_to_19,1_to_4,20_to_24,25_to_29,30_to_34,35_to_39,40_to_44,45_to_49,50_to_54,55_to_59,5_to_8,60_to_64,65_to_69,70_to_74,75_and_over,9_to_12,black,female,male,other_race,total,under_1,unknown_age,unknown_race,unknown_sex,white
2003,369,1283,307,2855,2148,1594,1286,1114,951,630,365,82,226,164,153,323,69,6887,3215,11167,408,14408,225,264,200,26,6913
2004,411,1244,328,2629,2137,1547,1224,1144,920,643,389,73,273,204,144,299,81,6632,3099,10990,365,14121,176,255,195,32,6929
2005,456,1349,328,2834,2262,1649,1257,1194,938,708,384,75,272,183,159,291,78,7125,3155,11683,390,14860,182,261,212,22,7133
2006,485,1485,299,2831,2273,1549,1250,1123,985,727,455,95,316,147,144,263,83,7421,3156,11793,406,14990,203,277,207,41,6956
2007,487,1443,322,2733,2215,1651,1243,1127,960,698,451,88,292,181,130,261,75,7316,3177,11618,345,14831,210,264,222,36,6948
2008,452,1336,338,2428,2136,1610,1204,1019,971,687,488,70,288,203,144,280,73,6782,3078,11059,321,14180,221,232,239,43,6838
2009,452,1336,338,2428,2136,1610,1204,1019,971,687,488,70,288,203,144,280,73,6782,3078,11059,321,14180,221,232,239,43,6838
2010,363,1231,313,2256,1964,1541,1072,882,838,686,473,85,325,189,137,259,43,6470,2918,10058,331,12996,186,153,152,20,6043
2011,300,1069,301,2329,1892,1414,1046,900,854,673,500,84,307,184,145,278,65,6329,2813,9829,335,12664,196,127,175,22,5825
2012,326,1001,261,2362,1912,1484,1101,943,775,743,517,96,308,224,117,271,65,6454,2834,9917,326,12765,144,115,130,14,5855
2013,247,911,251,2249,1746,1497,1101,826,803,689,543,78,340,214,140,263,68,6261,2707,9523,308,12253,162,125,147,23,5537
